Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year,Span
ABBOTSFORD A,BRITISH COLUMBIA,1100030,702,71108.0,YXX,49.03,-122.36,490131000,-1222136000,59.13,1944,2012,1953.0,2012.0,1944.0,2012.0,1944.0,2012.0,60.0
VANCOUVER HARBOUR CS,BRITISH COLUMBIA,1108446,888,71201.0,WHC,49.3,-123.12,491743270,-1230718730,2.5,1925,2024,1976.0,2024.0,1925.0,2024.0,1925.0,2007.0,49.0
VANCOUVER INT'L A,BRITISH COLUMBIA,1108447,889,,YVR,49.2,-123.18,491142000,-1231055000,4.3,1937,2013,1953.0,2013.0,1937.0,2013.0,1937.0,2013.0,61.0
KELOWNA A,BRITISH COLUMBIA,1123970,1001,71203.0,YLW,49.96,-119.38,495722000,-1192240000,429.5,1959,2005,1959.0,2005.0,1968.0,2005.0,1968.0,2005.0,47.0
PENTICTON A,BRITISH COLUMBIA,1126150,1053,71889.0,YYF,49.46,-119.6,492747000,-1193608000,344.42,1941,2012,1953.0,2012.0,1941.0,2012.0,1941.0,2012.0,60.0
PRINCETON A,BRITISH COLUMBIA,1126510,1056,,YDC,49.47,-120.51,492804000,-1203045000,701.65,1936,2024,1953.0,2013.0,1936.0,2024.0,1937.0,2007.0,61.0
CASTLEGAR A,BRITISH COLUMBIA,1141455,1105,,YCG,49.3,-117.63,491747000,-1173757000,495.6,1954,2024,1954.0,2013.0,1965.0,2024.0,1966.0,2007.0,60.0
CRANBROOK A,BRITISH COLUMBIA,1152102,1174,71880.0,YXC,49.61,-115.78,493644000,-1154655000,940.0,1968,2012,1968.0,2012.0,1968.0,2012.0,1968.0,2012.0,45.0
BLUE RIVER A,BRITISH COLUMBIA,1160899,1237,,YCP,52.13,-119.29,520744500,-1191722300,690.4,1969,2024,1969.0,2015.0,1969.0,2024.0,1969.0,2007.0,47.0
KAMLOOPS A,BRITISH COLUMBIA,1163780,1275,71887.0,YKA,50.7,-120.44,504208000,-1202631000,345.3,1951,2013,1953.0,2013.0,1951.0,2013.0,1951.0,2013.0,61.0
DAWSON CREEK A,BRITISH COLUMBIA,1182285,1404,71471.0,YDQ,55.74,-120.18,554430000,-1201055000,654.7,1964,2009,1964.0,2009.0,1968.0,2009.0,1968.0,2006.0,46.0
FORT ST JOHN A,BRITISH COLUMBIA,1183000,1413,71943.0,YXJ,56.24,-120.74,561417000,-1204425000,694.9,1942,2012,1953.0,2012.0,1942.0,2012.0,1942.0,2012.0,60.0
MACKENZIE A,BRITISH COLUMBIA,1184790,1423,,VMK,55.31,-123.14,551819000,-1230817000,690.1,1971,2015,1971.0,2015.0,1971.0,2013.0,1971.0,2007.0,45.0
DEASE LAKE,BRITISH COLUMBIA,1192340,1454,71958.0,WDL,58.43,-130.01,582542006,-1300038004,806.6,1944,2012,1953.0,2012.0,1944.0,2011.0,1944.0,2007.0,60.0
FORT NELSON A,BRITISH COLUMBIA,1192940,1455,71945.0,YYE,58.84,-122.6,585011000,-1223550000,381.9,1937,2012,1953.0,2012.0,1937.0,2012.0,1937.0,2012.0,60.0
BEAVER CREEK A,YUKON TERRITORY,2100160,1518,,YXQ,62.41,-140.87,622437000,-1405203000,649.0,1968,2015,1968.0,2014.0,1968.0,2015.0,1968.0,2006.0,47.0
BURWASH A,YUKON TERRITORY,2100182,1525,,YDB,61.37,-139.05,612200000,-1390300000,806.2,1966,2015,1966.0,2012.0,1966.0,2015.0,1966.0,2007.0,47.0
DAWSON A,YUKON TERRITORY,2100402,1535,,YDA,64.04,-139.13,640235000,-1390740000,370.33,1976,2015,1976.0,2013.0,1976.0,2015.0,1976.0,2007.0,38.0
HAINES JUNCTION,YUKON TERRITORY,2100630,1556,71505.0,WHT,60.77,-137.58,604621008,-1373449004,595.3,1944,2024,1960.0,2024.0,1944.0,2024.0,1944.0,2006.0,65.0
IVVAVIK NAT. PARK,YUKON TERRITORY,2100660,26869,71978.0,WOI,69.16,-140.15,690952000,-1400900000,243.8,1995,2024,1995.0,2024.0,1995.0,2024.0,2004.0,2006.0,30.0
MAYO A,YUKON TERRITORY,2100700,1572,71965.0,YMA,63.62,-135.87,633700000,-1355200000,503.8,1924,2013,1953.0,2013.0,1924.0,2013.0,1925.0,2013.0,61.0
SHINGLE POINT A,YUKON TERRITORY,2100950,1596,71968.0,YUA,68.95,-137.22,685700000,-1371300000,49.4,1957,2023,1973.0,2023.0,1957.0,2023.0,1957.0,1993.0,51.0
TESLIN A,YUKON TERRITORY,2101100,1610,,YZW,60.17,-132.74,601026900,-1324409200,705.0,1943,2014,1953.0,2014.0,1943.0,2014.0,1943.0,2006.0,62.0
WATSON LAKE A,YUKON TERRITORY,2101200,1615,71953.0,YQH,60.12,-128.82,600659400,-1284920400,687.35,1938,2014,1953.0,2014.0,1938.0,2014.0,1938.0,2014.0,62.0
WHITEHORSE A,YUKON TERRITORY,2101300,1617,71964.0,YXY,60.71,-135.07,604234200,-1350407800,706.2,1942,2012,1953.0,2012.0,1942.0,2012.0,1942.0,2007.0,60.0
AKLAVIK A,NORTHWEST TERRITORIES,2200100,1623,,YKD,68.22,-135.01,681324000,-1350021000,6.4,1926,2014,1953.0,2014.0,1926.0,2014.0,1926.0,2007.0,62.0
CAPE PARRY A,NORTHWEST TERRITORIES,2200675,1633,71948.0,ZCP,70.17,-124.72,701000000,-1244300000,86.6,1956,2023,1956.0,2023.0,1957.0,2023.0,1957.0,2007.0,68.0
FORT GOOD HOPE A,NORTHWEST TERRITORIES,2201400,1644,,YGH,66.24,-128.65,661427000,-1283903000,81.38,1944,2015,1965.0,2015.0,1944.0,2015.0,1944.0,2007.0,51.0
FORT LIARD A,NORTHWEST TERRITORIES,2201575,1646,,YJF,60.24,-123.47,601406000,-1232801000,215.8,1973,2014,1973.0,2014.0,1973.0,2014.0,1973.0,2007.0,42.0
FORT RESOLUTION A,NORTHWEST TERRITORIES,2202000,1654,,YFR,61.18,-113.69,611051000,-1134123000,160.3,1930,2014,1954.0,2014.0,1930.0,2014.0,1930.0,2007.0,61.0
FORT SIMPSON A,NORTHWEST TERRITORIES,2202101,1656,71946.0,YFS,61.76,-121.24,614537000,-1211412000,169.2,1963,2014,1963.0,2014.0,1963.0,2014.0,1963.0,2010.0,52.0
FORT SMITH A,NORTHWEST TERRITORIES,2202200,1660,71934.0,YSM,60.02,-111.96,600113000,-1115743000,205.13,1943,2014,1953.0,2014.0,1943.0,2014.0,1943.0,2014.0,62.0
HAY RIVER A,NORTHWEST TERRITORIES,2202400,1664,71935.0,YHY,60.84,-115.78,605023000,-1154658000,164.9,1943,2014,1953.0,2014.0,1943.0,2014.0,1943.0,2014.0,62.0
INUVIK A,NORTHWEST TERRITORIES,2202570,1669,,YEV,68.3,-133.48,681815000,-1332858000,67.7,1957,2013,1958.0,2013.0,1957.0,2006.0,1957.0,2006.0,56.0
TUKTOYAKTUK A,NORTHWEST TERRITORIES,2203912,1700,,YUB,69.43,-133.03,692600000,-1330135000,4.27,1970,2015,1970.0,2015.0,1970.0,2015.0,1970.0,2007.0,46.0
WRIGLEY A,NORTHWEST TERRITORIES,2204000,1705,,YWY,63.21,-123.44,631234000,-1232612000,149.7,1943,2015,1957.0,2015.0,1943.0,2015.0,1943.0,2007.0,59.0
YELLOWKNIFE A,NORTHWEST TERRITORIES,2204100,1706,71936.0,YZF,62.46,-114.44,622746000,-1142625000,205.7,1942,2013,1953.0,2013.0,1942.0,2013.0,1942.0,2007.0,61.0
YOHIN,NORTHWEST TERRITORIES,2204300,1635,71020.0,XYH,61.24,-123.74,611431000,-1234430000,204.0,1957,2024,1973.0,2024.0,1957.0,2024.0,1957.0,2007.0,52.0
BAKER LAKE A,NUNAVUT,2300500,1709,71926.0,YBK,64.3,-96.08,641756000,-960440000,18.6,1946,2013,1953.0,2013.0,1946.0,2013.0,1946.0,2013.0,61.0
CLINTON POINT,NUNAVUT,2300750,1637,71053.0,WXK,69.58,-120.8,693500000,-1204800000,100.6,1957,1993,1958.0,1993.0,1957.0,1993.0,1957.0,1993.0,36.0
KUGLUKTUK A,NUNAVUT,2300902,1641,71938.0,YCO,67.82,-115.14,674900000,-1150838000,22.6,1977,2014,1978.0,2014.0,1977.0,2014.0,1977.0,2014.0,37.0
CORAL HARBOUR A,NUNAVUT,2301000,1713,71915.0,YZS,64.19,-83.36,641136000,-832134000,62.2,1933,2015,1953.0,2015.0,1933.0,2015.0,1933.0,2015.0,63.0
PELLY BAY,NUNAVUT,2303090,1718,,WKE,68.43,-89.72,682600000,-894300000,325.8,1955,1992,1955.0,1992.0,1957.0,1992.0,1957.0,1992.0,38.0
RANKIN INLET A,NUNAVUT,2303401,1721,71083.0,YRT,62.82,-92.12,624900000,-920700000,32.31,1981,2013,1981.0,2013.0,1981.0,2013.0,1981.0,2013.0,33.0
SHEPHERD BAY A,NUNAVUT,2303685,1723,71911.0,YUS,68.82,-93.43,684900000,-932600000,42.7,1957,2023,1973.0,2023.0,1957.0,2023.0,1957.0,2006.0,51.0
ALERT,NUNAVUT,2400300,1731,,WLT,82.52,-62.28,823104000,-621650000,30.48,1950,2006,1953.0,2006.0,1950.0,2006.0,1950.0,2006.0,54.0
BREVOORT ISLAND,NUNAVUT,2400565,1735,71097.0,WOB,63.34,-64.15,632023000,-640845000,376.0,1959,2023,1960.0,2023.0,1959.0,2023.0,1959.0,2007.0,64.0
BROUGHTON ISLAND,NUNAVUT,2400570,1736,71096.0,WVD,67.54,-63.79,673208000,-634720000,584.4,1956,2023,1956.0,2023.0,1957.0,2023.0,1957.0,2007.0,68.0
BYRON BAY A,NUNAVUT,2400595,1785,71929.0,YUK,68.75,-109.07,684500000,-1090400000,92.1,1955,1994,1955.0,1994.0,1957.0,1993.0,1957.0,1993.0,40.0
CAMBRIDGE BAY A,NUNAVUT,2400600,1786,71925.0,YCB,69.11,-105.14,690629000,-1050818000,31.09,1929,2015,1953.0,2015.0,1929.0,2015.0,1929.0,2015.0,63.0
CAPE DORSET A,NUNAVUT,2400635,1738,71910.0,YTE,64.23,-76.53,641349000,-763130000,48.2,1963,2014,1970.0,2012.0,1963.0,2014.0,1963.0,2007.0,43.0
CAPE HOOPER,NUNAVUT,2400660,1742,71093.0,WUP,68.47,-66.8,682821000,-664755000,390.1,1956,2022,1956.0,2022.0,1957.0,2022.0,1957.0,2007.0,67.0
CLYDE A,NUNAVUT,2400800,1743,71090.0,YCY,70.49,-68.52,702910000,-683100000,26.5,1933,2013,1953.0,2013.0,1933.0,2008.0,1933.0,2007.0,61.0
DEWAR LAKES,NUNAVUT,2401030,1746,71092.0,WUW,68.65,-71.17,683900000,-711000000,526.7,1956,2023,1956.0,2023.0,1958.0,2023.0,1958.0,2007.0,68.0
EUREKA A,NUNAVUT,2401200,1750,71917.0,WEU,79.98,-85.93,795900000,-855600000,10.4,1947,2016,1953.0,2016.0,1947.0,2016.0,1947.0,2016.0,64.0
HALL BEACH A,NUNAVUT,2402350,1755,71081.0,YUX,68.78,-81.24,684633000,-811433000,9.1,1956,2014,1956.0,2012.0,1957.0,2014.0,1957.0,2007.0,57.0
IQALUIT A,NUNAVUT,2402590,1758,71909.0,YFB,63.75,-68.55,634500000,-683300000,33.5,1946,2014,1953.0,2014.0,1946.0,2008.0,1946.0,2007.0,62.0
LONGSTAFF BLUFF,NUNAVUT,2402684,1764,71091.0,WLX,68.9,-75.14,685355000,-750827000,160.8,1955,2023,1955.0,2023.0,1957.0,2023.0,1958.0,2007.0,69.0
MACKAR INLET,NUNAVUT,2402686,1765,71080.0,WUU,68.3,-85.67,681800000,-854000000,394.7,1956,1992,1956.0,1992.0,1957.0,1992.0,1957.0,1992.0,37.0
NANISIVIK A,NUNAVUT,2402730,1769,,YSR,72.98,-84.62,725900000,-843700000,641.9,1976,2011,1977.0,2011.0,1976.0,2010.0,1976.0,2007.0,35.0
POND INLET A,NUNAVUT,2403201,1774,71095.0,YIO,72.69,-77.97,724122000,-775808000,61.6,1975,2014,1975.0,2013.0,1975.0,2014.0,1975.0,2007.0,39.0
RESOLUTE CARS,NUNAVUT,2403500,1776,71924.0,YRB,74.72,-94.97,744301000,-945810000,67.68,1947,2014,1953.0,2014.0,1947.0,2014.0,1947.0,2014.0,62.0
RESOLUTION ISLAND,NUNAVUT,2403602,1778,71972.0,WRH,61.58,-64.65,613500000,-643900000,368.5,1962,2022,1962.0,2022.0,1962.0,2022.0,1962.0,1975.0,61.0
MOULD BAY A,NORTHWEST TERRITORIES,2502700,1792,,YMD,76.23,-119.33,761400000,-1192000000,12.2,1948,1997,1953.0,1997.0,1948.0,1997.0,1948.0,1997.0,45.0
SACHS HARBOUR A,NORTHWEST TERRITORIES,2503650,1794,,YSY,72.0,-125.27,720000000,-1251600000,86.25,1955,2015,1955.0,2015.0,1955.0,2013.0,1955.0,2007.0,61.0
ABEE AGDM,ALBERTA,3010010,32232,71285.0,XAF,54.28,-112.97,541700000,-1125800000,664.0,1990,2024,1990.0,2024.0,2002.0,2024.0,2002.0,2007.0,35.0
BODO AGDM,ALBERTA,3010730,32149,71214.0,XBA,52.12,-110.1,520727005,-1100605009,687.0,1995,2024,1995.0,2024.0,2002.0,2024.0,2002.0,2007.0,30.0
EDMONTON INT'L A,ALBERTA,3012205,1865,71123.0,YEG,53.32,-113.58,531900000,-1133500000,723.3,1959,2012,1961.0,2012.0,1959.0,2012.0,1959.0,2012.0,52.0
EDMONTON NAMAO A,ALBERTA,3012210,1868,71121.0,YED,53.67,-113.47,534000000,-1132800000,687.9,1955,2024,1955.0,2024.0,1955.0,2009.0,1955.0,1996.0,70.0
SMOKY LAKE AGDM,ALBERTA,3016022,32456,71274.0,XSL,54.28,-112.5,541639000,-1122957000,680.0,1990,2024,1990.0,2024.0,2002.0,2024.0,2002.0,2007.0,35.0
VERMILION AGDM,ALBERTA,3016802,32461,71278.0,XVM,53.34,-110.88,532037700,-1105254700,623.0,1995,2024,1995.0,2024.0,2002.0,2024.0,2002.0,2007.0,30.0
MORRIN AGDM,ALBERTA,3024668,32433,71257.0,XMO,51.66,-112.68,513937000,-1124030000,836.0,1991,2024,1991.0,2024.0,2002.0,2024.0,2002.0,2007.0,34.0
RED DEER A,ALBERTA,3025480,2134,71878.0,YQF,52.18,-113.89,521043000,-1135335000,904.6,1938,2014,1953.0,2014.0,1938.0,2014.0,1938.0,2007.0,62.0
CALGARY INT'L A,ALBERTA,3031093,2205,71877.0,YYC,51.11,-114.02,510650000,-1140113000,1084.1,1881,2012,1953.0,2012.0,1881.0,2012.0,1881.0,2012.0,60.0
CHAMPION AGDM,ALBERTA,3031480,32254,71217.0,XCP,50.28,-113.35,501655001,-1132101000,1006.0,1992,2024,1992.0,2024.0,2002.0,2024.0,2002.0,2007.0,33.0
LETHBRIDGE A,ALBERTA,3033880,2263,,YQL,49.63,-112.8,493749000,-1124759000,928.7,1938,2012,1953.0,2012.0,1938.0,2008.0,1938.0,2007.0,60.0
MEDICINE HAT A,ALBERTA,3034480,2273,,YXH,50.02,-110.72,500108000,-1104315000,716.9,1883,2012,1953.0,2012.0,1883.0,2008.0,1883.0,2007.0,60.0
SUFFIELD A,ALBERTA,3036240,2312,71128.0,YSD,50.27,-111.18,501600000,-1111100000,769.6,1950,2020,1953.0,2020.0,1950.0,2008.0,1950.0,2007.0,68.0
DEL BONITA AGDM,ALBERTA,3042045,32256,71224.0,XDB,49.05,-112.82,490300000,-1124900000,1310.0,1992,2024,1992.0,2024.0,2002.0,2024.0,2002.0,2007.0,33.0
ATMORE AGDM,ALBERTA,3060406,32231,71287.0,XAJ,54.78,-112.83,544654000,-1124930000,574.0,1992,2024,1992.0,2024.0,2002.0,2024.0,2003.0,2007.0,33.0
DAPP AGDM,ALBERTA,3061975,31414,71340.0,XDP,54.32,-113.95,541900000,-1135700000,614.2,1990,2021,1990.0,2021.0,2001.0,2021.0,2001.0,2007.0,32.0
WHITECOURT A,ALBERTA,3067372,2632,,YZU,54.14,-115.79,540838000,-1154712000,782.4,1978,2019,1978.0,2014.0,1978.0,2019.0,1978.0,2007.0,37.0
EGG ISLAND,ALBERTA,3072246,31027,71404.0,XEL,58.98,-110.44,585853070,-1102622062,214.9,1993,2024,1993.0,2024.0,2001.0,2024.0,2005.0,2007.0,32.0
GRANDE PRAIRIE A,ALBERTA,3072920,2718,71940.0,YQU,55.18,-118.89,551047000,-1185306000,669.0,1942,2013,1953.0,2013.0,1942.0,2013.0,1942.0,2007.0,61.0
HIGH LEVEL A,ALBERTA,3073146,2726,,YOJ,58.62,-117.16,583717000,-1170953000,338.02,1970,2022,1970.0,2012.0,1970.0,2022.0,1970.0,2007.0,43.0
CLEARDALE AGDM,ALBERTA,3074935,32255,71221.0,XCD,56.31,-119.75,561852009,-1194442000,630.0,1990,2024,1990.0,2024.0,2003.0,2024.0,2003.0,2007.0,35.0
PEACE RIVER A,ALBERTA,3075040,2770,71068.0,YPE,56.23,-117.45,561337000,-1172650000,570.9,1944,2014,1955.0,2014.0,1944.0,2014.0,1944.0,2007.0,60.0
PEORIA AGDM,ALBERTA,3075160,31468,71348.0,XPA,55.62,-118.29,553716005,-1181735001,621.21,1994,2024,1994.0,2024.0,2002.0,2024.0,2002.0,2007.0,31.0
COLD LAKE A,ALBERTA,3081680,2832,71120.0,YOD,54.42,-110.28,542500000,-1101700000,541.0,1952,2024,1954.0,2024.0,1952.0,2024.0,1953.0,2017.0,71.0
BROADVIEW,SASKATCHEWAN,4010879,2855,71861.0,WIK,50.37,-102.57,502205000,-1023415000,599.8,1965,2024,1965.0,2024.0,1965.0,2024.0,1965.0,2007.0,60.0
MOOSE JAW A,SASKATCHEWAN,4015320,2967,71864.0,YMJ,50.33,-105.57,502000000,-1053400000,576.7,1943,2024,1954.0,2024.0,1943.0,1999.0,1943.0,1998.0,71.0
REGINA INT'L A,SASKATCHEWAN,4016560,3002,71863.0,YQR,50.43,-104.67,502600000,-1044000000,577.6,1883,2013,1953.0,2013.0,1883.0,2013.0,1883.0,2007.0,61.0
YORKTON A,SASKATCHEWAN,4019080,3062,71138.0,YQV,51.27,-102.47,511600000,-1022800000,498.3,1941,2005,1953.0,2005.0,1941.0,2005.0,1941.0,2005.0,53.0
SWIFT CURRENT A,SASKATCHEWAN,4028040,3155,71870.0,YYN,50.3,-107.68,501800000,-1074100000,816.86,1938,2011,1953.0,2011.0,1938.0,2011.0,1938.0,2007.0,59.0
NORTH BATTLEFORD A,SASKATCHEWAN,4045600,3244,71876.0,YQW,52.77,-108.26,524619004,-1081520007,548.33,1942,2005,1953.0,2005.0,1942.0,2005.0,1942.0,2005.0,53.0
PRINCE ALBERT A,SASKATCHEWAN,4056240,3322,71869.0,YPA,53.22,-105.67,531300000,-1054000000,428.2,1942,2013,1953.0,2013.0,1942.0,2013.0,1942.0,2007.0,61.0
SASKATOON DIEFENBAKER INT'L A,SASKATCHEWAN,4057120,3328,71866.0,YXE,52.17,-106.72,521000000,-1064300000,504.1,1892,2012,1953.0,2012.0,1892.0,2012.0,1892.0,2007.0,60.0
BUFFALO NARROWS A,SASKATCHEWAN,4060982,3357,71077.0,YVT,55.83,-108.43,555000000,-1082600000,433.73,1979,2012,1979.0,2012.0,1979.0,2012.0,1979.0,2007.0,34.0
LA RONGE A,SASKATCHEWAN,4064150,3381,71922.0,YVC,55.15,-105.27,550900000,-1051600000,379.2,1959,2013,1959.0,2013.0,1959.0,2013.0,1959.0,2008.0,55.0
MEADOW LAKE A,SASKATCHEWAN,4065058,3386,71125.0,YLJ,54.13,-108.52,540800000,-1083100000,480.67,1977,2013,1977.0,2013.0,1977.0,2013.0,1977.0,2008.0,37.0
BRANDON A,MANITOBA,5010480,3471,71140.0,YBR,49.91,-99.95,495436000,-995707000,409.4,1941,2012,1958.0,2012.0,1941.0,2012.0,1941.0,2012.0,55.0
PORTAGE SOUTHPORT A,MANITOBA,5012320,3518,,YPG,49.9,-98.27,495400000,-981600000,269.7,1941,2024,1953.0,2024.0,1941.0,1992.0,1941.0,1992.0,72.0
SHILO,MANITOBA,5012672,3539,71853.0,WLO,49.78,-99.64,494658000,-993835000,375.2,1954,1999,1954.0,1999.0,1954.0,1970.0,1954.0,1970.0,46.0
PILOT MOUND (AUT),MANITOBA,5022125,3649,71148.0,WPO,49.19,-98.9,491127700,-985417500,470.3,1957,2024,1957.0,2024.0,1957.0,2024.0,1957.0,2007.0,68.0
WINNIPEG RICHARDSON INT'L A,MANITOBA,5023222,3698,71852.0,YWG,49.92,-97.23,495500000,-971400000,238.7,1938,2013,1953.0,2013.0,1938.0,2008.0,1938.0,2007.0,61.0
DAUPHIN A,MANITOBA,5040680,3780,,PDH,51.1,-100.05,510600000,-1000300000,304.5,1942,2013,1953.0,2013.0,1942.0,2010.0,1942.0,2007.0,61.0
FLIN FLON A,MANITOBA,5050960,3858,,YFO,54.68,-101.68,544100000,-1014100000,303.9,1954,2017,1954.0,2014.0,1968.0,2017.0,1968.0,2007.0,61.0
THE PAS A,MANITOBA,5052880,3864,71867.0,YQD,53.97,-101.1,535800000,-1010600000,270.36,1943,2014,1953.0,2014.0,1943.0,2014.0,1943.0,2014.0,62.0
CHURCHILL A,MANITOBA,5060600,3871,,YYQ,58.74,-94.07,584421000,-940359000,29.26,1943,2012,1953.0,2012.0,1943.0,2008.0,1943.0,2007.0,60.0
GILLAM A,MANITOBA,5061001,3878,71912.0,YGX,56.36,-94.71,562127000,-944238000,145.1,1970,2014,1970.0,2014.0,1970.0,2014.0,1970.0,2014.0,45.0
ISLAND LAKE A,MANITOBA,5061376,3880,71145.0,YIV,53.85,-94.65,535100000,-943900000,235.6,1970,2015,1970.0,2015.0,1970.0,2015.0,1970.0,2015.0,46.0
THOMPSON A,MANITOBA,5062922,3905,71079.0,YTH,55.8,-97.86,554812000,-975145000,224.03,1967,2014,1967.0,2014.0,1967.0,2014.0,1967.0,2007.0,48.0
PICKLE LAKE (AUT),ONTARIO,6016525,3920,71835.0,WPL,51.45,-90.22,512657001,-901304007,390.8,1930,2024,1955.0,2024.0,1930.0,2024.0,1930.0,2006.0,70.0
RED LAKE A,ONTARIO,6016975,3923,71854.0,YRL,51.07,-93.79,510401000,-934735000,385.88,1930,2012,1953.0,2012.0,1930.0,2012.0,1930.0,2012.0,60.0
DRYDEN A,ONTARIO,6032119,3953,,YHD,49.83,-92.75,495000000,-924500000,412.7,1969,2005,1969.0,2005.0,1970.0,2005.0,1970.0,2004.0,37.0
KENORA A,ONTARIO,6034075,3960,71850.0,YQK,49.79,-94.37,494725005,-942155003,409.65,1938,2013,1953.0,2013.0,1938.0,2013.0,1938.0,2013.0,61.0
ARMSTRONG (AUT),ONTARIO,6040325,3987,71841.0,WYW,50.29,-88.91,501737000,-885419000,322.5,1938,2024,1953.0,2024.0,1938.0,2024.0,1938.0,1982.0,72.0
GERALDTON A,ONTARIO,6042716,4003,,YGQ,49.78,-86.93,494658090,-865550050,348.4,1981,2015,1981.0,2015.0,1981.0,2015.0,1981.0,2015.0,35.0
THUNDER BAY A,ONTARIO,6048261,4055,,YQT,48.37,-89.33,482210000,-891938038,199.0,1941,2012,1953.0,2012.0,1941.0,2004.0,1941.0,2004.0,60.0
SAULT STE MARIE A,ONTARIO,6057592,4093,71260.0,YAM,46.48,-84.51,462900000,-843034000,192.0,1945,2012,1961.0,2012.0,1945.0,2012.0,1945.0,2012.0,52.0
SUDBURY A,ONTARIO,6068150,4132,71730.0,YSB,46.63,-80.8,463732000,-804752000,348.39,1954,2013,1954.0,2013.0,1954.0,2013.0,1954.0,2013.0,60.0
EARLTON A,ONTARIO,6072225,4145,,YXR,47.7,-79.85,474200000,-795100000,243.2,1938,2005,1953.0,2005.0,1938.0,2005.0,1938.0,2004.0,53.0
